t,y,a,b,c,d
0.083,-0.0020909251000210535,0.0,0.0,0.0,0.0
0.084,0.02813698697138022,0.0,0.0,0.0,0.0
0.085,0.01839359688265732,0.0,0.0,0.0,0.0
0.08600000000000001,0.045120864063612015,0.0,0.0,0.0,0.0
0.08700000000000001,0.03770293325194637,0.0,0.0,0.0,0.0
0.088,0.012890228850112245,0.0,0.0,0.0,0.0
0.089,-0.004111839834421931,0.0,0.0,0.0,0.0
0.09,-0.0018148643264533975,0.0,0.0,0.0,0.0
0.091,0.0011529351251284904,0.0,0.0,0.0,0.0
0.092,0.00019956201232938526,0.0,0.0,0.0,0.0
0.093,-0.04055075547932891,0.0,0.0,0.0,0.0
0.094,-0.040391241530797706,0.0,0.0,0.0,0.0
0.095,-0.021786782714473468,0.0,0.0,0.0,0.0
0.096,-0.022340186722666945,0.0,0.0,0.0,0.0
0.097,0.029926172145717696,0.0,0.0,0.0,0.0
0.098,0.029419200676729065,0.0,0.0,0.0,0.0
0.099,-0.014916650824123561,0.0,0.0,0.0,0.0
0.1,0.01951462819473932,0.0,0.0,0.0,0.0
0.101,-0.02458305150887292,0.0,0.0,0.0,0.0
0.10200000000000001,0.014803865886863304,0.0,0.0,0.0,0.0
0.10300000000000001,-0.05441332601333694,0.0,0.0,0.0,0.0
0.10400000000000001,-0.04922466438951191,0.0,0.0,0.0,0.0
0.105,0.05096052316141529,0.0,0.0,0.0,0.0
0.106,0.0682545854448569,0.0,0.0,0.0,0.0
0.107,0.03324418271255455,0.0,0.0,0.0,0.0
0.108,-0.001661242081096395,0.0,0.0,0.0,0.0
0.109,0.020697665269707254,0.0,0.0,0.0,0.0
0.11,-0.03361712629084167,0.0,0.0,0.0,0.0
0.111,-0.023113601124838803,0.0,0.0,0.0,0.0
0.112,-0.010724461115678749,0.0,0.0,0.0,0.0
0.113,0.01497139714668367,0.0,0.0,0.0,0.0
0.114,0.04663481505265571,0.0,0.0,0.0,0.0
0.115,-0.020150036148777445,0.0,0.0,0.0,0.0
0.116,-0.02451598013501907,0.0,0.0,0.0,0.0
0.117,0.004879149408664173,0.0,0.0,0.0,0.0
0.11800000000000001,0.05814688956234282,0.0,0.0,0.0,0.0
0.11900000000000001,0.03452085092759819,0.0,0.0,0.0,0.0
0.12,-0.01916240718608781,0.0,0.0,0.0,0.0
0.121,0.00481403361768842,0.0,0.0,0.0,0.0
0.122,-0.05569115244228583,0.0,0.0,0.0,0.0
0.123,0.06377878329432998,0.0,0.0,0.0,0.0
0.124,0.011475023954452249,0.0,0.0,0.0,0.0
0.125,-0.03960005945111586,0.0,0.0,0.0,0.0
0.126,0.026879472080207467,0.0,0.0,0.0,0.0
0.127,0.05623856834563832,0.0,0.0,0.0,0.0
0.128,-0.05376066181205874,0.0,0.0,0.0,0.0
0.129,0.03996630953861879,0.0,0.0,0.0,0.0
0.13,0.02358512148793744,0.0,0.0,0.0,0.0
0.131,-0.024279020613942173,0.0,0.0,0.0,0.0
0.132,0.010403557763417216,0.0,0.0,0.0,0.0
0.133,0.016844603289996058,0.0,0.0,0.0,0.0
0.134,0.041141001812399325,0.0,0.0,0.0,0.0
0.135,-0.0007870699317707158,0.0,0.0,0.0,0.0
0.136,0.05913096752087114,0.0,0.0,0.0,0.0
0.137,-0.02187474591865421,0.0,0.0,0.0,0.0
0.138,0.005010181665086926,0.0,0.0,0.0,0.0
0.139,-0.011042785410602465,0.0,0.0,0.0,0.0
0.14,0.07081117938212257,0.0,0.0,0.0,0.0
0.14100000000000001,-0.012377339570050216,0.0,0.0,0.0,0.0
0.14200000000000002,0.021403366136771906,0.0,0.0,0.0,0.0
0.14300000000000002,0.0005957451013539738,0.0,0.0,0.0,0.0
0.14400000000000002,0.009362330978826054,0.0,0.0,0.0,0.0
0.145,-0.017850722339120117,0.0,0.0,0.0,0.0
0.146,0.062045251978406386,0.0,0.0,0.0,0.0
0.147,0.06275760971809817,0.0,0.0,0.0,0.0
0.148,-0.06272278020139464,0.0,0.0,0.0,0.0
0.149,0.01389315851670982,0.0,0.0,0.0,0.0
0.15,-0.046314270671545865,0.0,0.0,0.0,0.0
0.151,-0.009152106368310469,0.0,0.0,0.0,0.0
0.152,0.0359086351821326,0.0,0.0,0.0,0.0
0.153,0.030851937429107527,0.0,0.0,0.0,0.0
0.154,-0.012575078357896917,0.0,0.0,0.0,0.0
0.155,0.03529336869784107,0.0,0.0,0.0,0.0
0.156,0.02661451772436994,0.0,0.0,0.0,0.0
0.157,0.02231283098437254,0.0,0.0,0.0,0.0
0.158,-0.011328019204961005,0.0,0.0,0.0,0.0
0.159,0.04168166142360967,0.0,0.0,0.0,0.0
0.16,-0.028360692491870135,0.0,0.0,0.0,0.0
0.161,0.03890615225623042,0.0,0.0,0.0,0.0
0.162,-0.01513286787489804,0.0,0.0,0.0,0.0
0.163,0.002389247514961498,0.0,0.0,0.0,0.0
0.164,-0.03034286835809519,0.0,0.0,0.0,0.0
0.165,0.04480500296901541,0.0,0.0,0.0,0.0
0.166,0.040798586539573085,0.0,0.0,0.0,0.0
0.167,0.017820442160266244,0.0,0.0,0.0,0.0
0.168,0.019851361153987647,0.0,0.0,0.0,0.0
0.169,-0.015645308886193823,0.0,0.0,0.0,0.0
0.17,0.02297197652052398,0.0,0.0,0.0,0.0
0.171,0.01609241431153285,0.0,0.0,0.0,0.0
0.17200000000000001,0.0224984939832801,0.0,0.0,0.0,0.0
0.17300000000000001,-0.03333535215347262,0.0,0.0,0.0,0.0
0.17400000000000002,-0.009145638466021042,0.0,0.0,0.0,0.0
0.17500000000000002,0.01969388721888117,0.0,0.0,0.0,0.0
0.176,0.03891675538700442,0.0,0.0,0.0,0.0
0.177,0.005543191758093565,0.0,0.0,0.0,0.0
0.178,0.02869879945267973,0.0,0.0,0.0,0.0
0.179,-0.012577004222134557,0.0,0.0,0.0,0.0
0.18,0.03341385934848422,0.0,0.0,0.0,0.0
0.181,-0.05025626672044112,0.0,0.0,0.0,0.0
0.182,0.03130720702609473,0.0,0.0,0.0,0.0
0.183,0.040280616445602234,0.0,0.0,0.0,0.0
0.184,-0.016404592725345113,0.0,0.0,0.0,0.0
0.185,0.016569107705883962,0.0,0.0,0.0,0.0
0.186,-0.028647182173530267,0.0,0.0,0.0,0.0
0.187,-0.020337943642266345,0.0,0.0,0.0,0.0
0.188,-0.018803686739288956,0.0,0.0,0.0,0.0
0.189,0.037199043140235664,0.0,0.0,0.0,0.0
0.19,0.005880428651210208,0.0,0.0,0.0,0.0
0.191,0.017593498444975385,0.0,0.0,0.0,0.0
0.192,0.05628053497973076,0.0,0.0,0.0,0.0
0.193,0.07310311395943901,0.0,0.0,0.0,0.0
0.194,0.03325557809560853,0.0,0.0,0.0,0.0
0.195,0.03608960968556893,0.0,0.0,0.0,0.0
0.196,0.006021925235651426,0.0,0.0,0.0,0.0
0.197,-0.0019472703033433895,0.0,0.0,0.0,0.0
0.198,-0.010407518168241661,0.0,0.0,0.0,0.0
0.199,-0.017844088449842047,0.0,0.0,0.0,0.0
0.2,0.020521353313974207,0.0,0.0,0.0,0.0
0.201,0.011864428198569189,0.0,0.0,0.0,0.0
0.202,0.03589217632010462,0.0,0.0,0.0,0.0
0.203,0.024790345605477868,0.0,0.0,0.0,0.0
0.20400000000000001,-0.02525843509202717,0.0,0.0,0.0,0.0
0.20500000000000002,-0.008340932063382078,0.0,0.0,0.0,0.0
0.20600000000000002,0.01654068115823784,0.0,0.0,0.0,0.0
0.20700000000000002,0.007317645339954409,0.0,0.0,0.0,0.0
0.20800000000000002,0.01785214697337498,0.0,0.0,0.0,0.0
0.209,-0.029407670892275403,0.0,0.0,0.0,0.0
0.21,-0.033566840665037984,0.0,0.0,0.0,0.0
0.211,-0.020575020504946383,0.0,0.0,0.0,0.0
0.212,-0.011946791782756464,0.0,0.0,0.0,0.0
0.213,0.03115492626048934,0.0,0.0,0.0,0.0
0.214,0.04879614780777444,0.0,0.0,0.0,0.0
0.215,-0.02921279349060242,0.0,0.0,0.0,0.0
0.216,-0.02828051976210239,0.0,0.0,0.0,0.0
0.217,-0.004217150646192274,0.0,0.0,0.0,0.0
0.218,-0.041625302572305796,0.0,0.0,0.0,0.0
0.219,-0.025704541483044907,0.0,0.0,0.0,0.0
0.22,0.04193648346350657,0.0,0.0,0.0,0.0
0.221,-0.01031423629390036,0.0,0.0,0.0,0.0
0.222,0.013820966439309773,0.0,0.0,0.0,0.0
0.223,-0.020744002899227915,0.0,0.0,0.0,0.0
0.224,-0.022760837628543966,0.0,0.0,0.0,0.0
0.225,0.03306921801513011,0.0,0.0,0.0,0.0
0.226,0.1085243679287523,0.0,0.0,0.0,0.0
0.227,-0.07556412508505739,0.0,0.0,0.0,0.0
0.228,0.029816289162919465,0.0,0.0,0.0,0.0
0.229,-0.029157419595022604,0.0,0.0,0.0,0.0
0.23,0.023920013539814475,0.0,0.0,0.0,0.0
0.231,0.0024559138682960164,0.0,0.0,0.0,0.0
0.232,0.025527511198785616,0.0,0.0,0.0,0.0
0.233,-0.0068722544478070895,0.0,0.0,0.0,0.0
0.234,0.018685219632584727,0.0,0.0,0.0,0.0
0.23500000000000001,-0.021537277489766866,0.0,0.0,0.0,0.0
0.23600000000000002,-0.046339624447252224,0.0,0.0,0.0,0.0
0.23700000000000002,0.034542004704676804,0.0,0.0,0.0,0.0
0.23800000000000002,0.002146699634782444,0.0,0.0,0.0,0.0
0.23900000000000002,-0.0069446292223479525,0.0,0.0,0.0,0.0
0.24,-0.05812428851552237,0.0,0.0,0.0,0.0
0.241,0.013328662619701975,0.0,0.0,0.0,0.0
0.242,-0.010088345323458266,0.0,0.0,0.0,0.0
0.243,0.0179223787618037,0.0,0.0,0.0,0.0
0.244,-0.03796931601661467,0.0,0.0,0.0,0.0
0.245,0.008730119149744585,0.0,0.0,0.0,0.0
0.246,-0.04721398596104157,0.0,0.0,0.0,0.0
0.247,0.008502603830801685,0.0,0.0,0.0,0.0
0.248,0.02246709954859223,0.0,0.0,0.0,0.0
0.249,0.02943461668166594,0.0,0.0,0.0,0.0
0.25,-0.050005561138879176,0.0,0.0,0.0,0.0
0.251,0.00834449424747049,0.0,0.0,0.0,0.0
0.252,-0.008212327836315536,0.0,0.0,0.0,0.0
0.253,0.05549746415102857,0.0,0.0,0.0,0.0
0.254,-0.0037437157073618513,0.0,0.0,0.0,0.0
0.255,0.012483948591151501,0.0,0.0,0.0,0.0
0.256,-0.030899799485172953,0.0,0.0,0.0,0.0
0.257,0.019113959555918797,0.0,0.0,0.0,0.0
0.258,-0.006532702210009972,0.0,0.0,0.0,0.0
0.259,0.046990119557851734,0.0,0.0,0.0,0.0
0.26,0.027678983046181597,0.0,0.0,0.0,0.0
0.261,0.021469637062572634,0.0,0.0,0.0,0.0
0.262,0.055295433193758695,0.0,0.0,0.0,0.0
0.263,-0.02755067587280402,0.0,0.0,0.0,0.0
0.264,0.017512424864640427,0.0,0.0,0.0,0.0
0.265,0.008606986212908096,0.0,0.0,0.0,0.0
0.266,0.021785785074969366,0.0,0.0,0.0,0.0
0.267,0.026450978386428542,0.0,0.0,0.0,0.0
0.268,0.02747381497179921,0.0,0.0,0.0,0.0
0.269,0.0018101889931950365,0.0,0.0,0.0,0.0
0.27,-0.06439823682346561,0.0,0.0,0.0,0.0
0.271,0.010904301170251346,0.0,0.0,0.0,0.0
0.272,-0.005682889976119426,0.0,0.0,0.0,0.0
0.273,0.025222539364107528,0.0,0.0,0.0,0.0
0.274,0.006136673178899209,0.0,0.0,0.0,0.0
0.275,0.013037765817359187,0.0,0.0,0.0,0.0
0.276,0.03790688294092861,0.0,0.0,0.0,0.0
0.277,0.03914806086163312,0.0,0.0,0.0,0.0
0.278,0.04660796858622169,0.0,0.0,0.0,0.0
0.279,0.054516708592436264,0.0,0.0,0.0,0.0
0.28,-0.015812353301395042,0.0,0.0,0.0,0.0
0.281,-0.018270928645751472,0.0,0.0,0.0,0.0
0.28200000000000003,-0.01329933895121484,0.0,0.0,0.0,0.0
0.28300000000000003,0.00019115793876549672,0.0,0.0,0.0,0.0
0.28400000000000003,-0.04946078021677616,0.0,0.0,0.0,0.0
0.28500000000000003,-0.06906877088925954,0.0,0.0,0.0,0.0
0.28600000000000003,-0.0253988510652804,0.0,0.0,0.0,0.0
0.28700000000000003,-0.06412357086706223,0.0,0.0,0.0,0.0
0.28800000000000003,0.03301405658821731,0.0,0.0,0.0,0.0
0.289,-0.05425386860924561,0.0,0.0,0.0,0.0
0.29,0.005885329797548767,0.0,0.0,0.0,0.0
0.291,-0.018824274043292996,0.0,0.0,0.0,0.0
0.292,0.04393176389869083,0.0,0.0,0.0,0.0
0.293,-0.020444662628151946,0.0,0.0,0.0,0.0
0.294,-0.03612963927762588,0.0,0.0,0.0,0.0
0.295,0.019399443887892658,0.0,0.0,0.0,0.0
0.296,-0.000482320274788047,0.0,0.0,0.0,0.0
0.297,-0.0009709248080093623,0.0,0.0,0.0,0.0
0.298,-0.02030269975425362,0.0,0.0,0.0,0.0
0.299,-0.005441931284816107,0.0,0.0,0.0,0.0
0.3,-0.02763581475866721,0.0,0.0,0.0,0.0
0.301,0.06751185182776735,0.0,0.0,0.0,0.0
0.302,-0.0025345856022435187,0.0,0.0,0.0,0.0
0.303,0.02201868035622852,0.0,0.0,0.0,0.0
0.304,0.0121941805756079,0.0,0.0,0.0,0.0
0.305,-0.010045801877168817,0.0,0.0,0.0,0.0
0.306,0.04093624213745313,0.0,0.0,0.0,0.0
0.307,0.05250238227915052,0.0,0.0,0.0,0.0
0.308,-0.007991706875124436,0.0,0.0,0.0,0.0
0.309,-0.06633166020545224,0.0,0.0,0.0,0.0
0.31,0.007737105189375046,0.0,0.0,0.0,0.0
0.311,0.029450784945228566,0.0,0.0,0.0,0.0
0.312,-0.006249110078086432,0.0,0.0,0.0,0.0
0.313,-0.02852642845948084,0.0,0.0,0.0,0.0
0.314,0.03891732994929294,0.0,0.0,0.0,0.0
0.315,-0.013254169398773174,0.0,0.0,0.0,0.0
0.316,0.02032768294545799,0.0,0.0,0.0,0.0
0.317,-0.009865486128316496,0.0,0.0,0.0,0.0
0.318,0.009055251548165905,0.0,0.0,0.0,0.0
0.319,0.030558710993676515,0.0,0.0,0.0,0.0
0.32,-0.02853233181531025,0.0,0.0,0.0,0.0
0.321,0.004136771838784341,0.0,0.0,0.0,0.0
0.322,0.019959163369231744,0.0,0.0,0.0,0.0
0.323,-0.03064056926313141,0.0,0.0,0.0,0.0
0.324,-0.003191950193065388,0.0,0.0,0.0,0.0
0.325,8.566533453220355e-05,0.0,0.0,0.0,0.0
0.326,-0.030510483210497756,0.0,0.0,0.0,0.0
0.327,0.020685739350885687,0.0,0.0,0.0,0.0
0.328,0.047868796476769095,0.0,0.0,0.0,0.0
0.329,-0.004441404119391961,0.0,0.0,0.0,0.0
0.33,0.01682938584746254,0.0,0.0,0.0,0.0
0.331,-0.03246115055005242,0.0,0.0,0.0,0.0
0.332,-0.018957753102609207,0.0,0.0,0.0,0.0
0.333,-0.00975697470827188,0.0,0.0,0.0,0.0
0.334,0.004004384784346539,0.0,0.0,0.0,0.0
0.335,0.07556570908977464,0.0,0.0,0.0,0.0
0.336,0.04285050856295125,0.0,0.0,0.0,0.0
0.337,-0.05033256442438591,0.0,0.0,0.0,0.0
0.338,-0.010475002769176794,0.0,0.0,0.0,0.0
0.339,0.02051753857070958,0.0,0.0,0.0,0.0
0.34,0.006447973326019844,0.0,0.0,0.0,0.0
0.341,-0.00948226573043218,0.0,0.0,0.0,0.0
0.342,0.0004910866698870087,0.0,0.0,0.0,0.0
0.343,0.008134352966906698,0.0,0.0,0.0,0.0
0.34400000000000003,0.020825765689207326,0.0,0.0,0.0,0.0
0.34500000000000003,0.010272869506310572,0.0,0.0,0.0,0.0
0.34600000000000003,-0.0016451618832995889,0.0,0.0,0.0,0.0
0.34700000000000003,-0.06542039220560467,0.0,0.0,0.0,0.0
0.34800000000000003,0.06544132205281487,0.0,0.0,0.0,0.0
0.34900000000000003,-0.010443160814146575,0.0,0.0,0.0,0.0
0.35000000000000003,-0.005342213833097523,0.0,0.0,0.0,0.0
0.35100000000000003,0.06750806479245682,0.0,0.0,0.0,0.0
0.352,-0.03235359092252741,0.0,0.0,0.0,0.0
0.353,0.0014978422593879821,0.0,0.0,0.0,0.0
0.354,-0.0023550818034848396,0.0,0.0,0.0,0.0
0.355,0.03649112685042026,0.0,0.0,0.0,0.0
0.356,0.03728504098251854,0.0,0.0,0.0,0.0
0.357,0.03162802691350767,0.0,0.0,0.0,0.0
0.358,0.0017774248256898538,0.0,0.0,0.0,0.0
0.359,-0.010944541025072065,0.0,0.0,0.0,0.0
0.36,0.040589961117696895,0.0,0.0,0.0,0.0
0.361,-0.04497946415836776,0.0,0.0,0.0,0.0
0.362,-0.020886084244903413,0.0,0.0,0.0,0.0
0.363,-0.04205461872316454,0.0,0.0,0.0,0.0
0.364,-0.01870918214341282,0.0,0.0,0.0,0.0
0.365,0.025637971483488342,0.0,0.0,0.0,0.0
0.366,-0.006923137852893281,0.0,0.0,0.0,0.0
0.367,-0.001104124856447895,0.0,0.0,0.0,0.0
0.368,-0.020641359358856946,0.0,0.0,0.0,0.0
0.369,0.03488751650353721,0.0,0.0,0.0,0.0
0.37,0.008172686529858144,0.0,0.0,0.0,0.0
0.371,-0.017578308142243048,0.0,0.0,0.0,0.0
0.372,-0.012697906722631632,0.0,0.0,0.0,0.0
0.373,0.006247214426834985,0.0,0.0,0.0,0.0
0.374,-0.03508560775954129,0.0,0.0,0.0,0.0
0.375,0.007784510530880727,0.0,0.0,0.0,0.0
0.376,-0.01199423927811527,0.0,0.0,0.0,0.0
0.377,0.01914910911502705,0.0,0.0,0.0,0.0
0.378,-0.04253375578981106,0.0,0.0,0.0,0.0
0.379,0.0017021619150990467,0.0,0.0,0.0,0.0
0.38,0.034033590650081186,0.0,0.0,0.0,0.0
0.381,0.04377985186194278,0.0,0.0,0.0,0.0
0.382,-0.005937591316894805,0.0,0.0,0.0,0.0
0.383,0.02311652846053018,0.0,0.0,0.0,0.0
0.384,0.0031175920257108035,0.0,0.0,0.0,0.0
0.385,-0.013323199064822728,0.0,0.0,0.0,0.0
0.386,-0.04255814475328498,0.0,0.0,0.0,0.0
0.387,-0.02760091505451976,0.0,0.0,0.0,0.0
0.388,0.04023488434070934,0.0,0.0,0.0,0.0
0.389,0.060026909931324694,0.0,0.0,0.0,0.0
0.39,0.1078656420724738,0.0,0.0,0.0,0.0
0.391,0.0767817419922813,0.0,0.0,0.0,0.0
0.392,0.04342554897673046,0.0,0.0,0.0,0.0
0.393,0.04314212780269858,0.0,0.0,0.0,0.0
0.394,0.01567855448364156,0.0,0.0,0.0,0.0
0.395,-0.031368002165467215,0.0,0.0,0.0,0.0
0.396,-0.04926144547902141,0.0,0.0,0.0,0.0
0.397,-0.026072122866267568,0.0,0.0,0.0,0.0
0.398,0.0037944194007850096,0.0,0.0,0.0,0.0
0.399,0.01206382165537834,0.0,0.0,0.0,0.0
0.4,0.010562258097427836,0.0,0.0,0.0,0.0
0.401,0.037077447027410025,0.0,0.0,0.0,0.0
0.402,-0.002406829084282013,0.0,0.0,0.0,0.0
0.403,0.03051440157906358,0.0,0.0,0.0,0.0
0.404,0.014871383389407166,0.0,0.0,0.0,0.0
0.405,0.051274644272723116,0.0,0.0,0.0,0.0
0.406,-0.0032630383826966368,0.0,0.0,0.0,0.0
0.40700000000000003,0.04100957151823675,0.0,0.0,0.0,0.0
0.40800000000000003,-0.04169352335254726,0.0,0.0,0.0,0.0
0.40900000000000003,-0.026508458369980552,0.0,0.0,0.0,0.0
0.41000000000000003,0.03062692623092012,0.0,0.0,0.0,0.0
0.41100000000000003,0.004167076528562727,0.0,0.0,0.0,0.0
0.41200000000000003,0.00810879143960781,0.0,0.0,0.0,0.0
0.41300000000000003,-0.020236672215043657,0.0,0.0,0.0,0.0
0.41400000000000003,0.024819475807874164,0.0,0.0,0.0,0.0
0.41500000000000004,-0.007972813491753612,0.0,0.0,0.0,0.0
0.41600000000000004,0.02221867631532344,0.0,0.0,0.0,0.0
0.417,-0.010467289761183982,0.0,0.0,0.0,0.0
0.418,-0.002313497636691828,0.0,0.0,0.0,0.0
0.419,0.018690292396976955,0.0,0.0,0.0,0.0
0.42,-0.0457511544150911,0.0,0.0,0.0,0.0
0.421,-0.029244393896990604,0.0,0.0,0.0,0.0
0.422,0.0085910049111311,0.0,0.0,0.0,0.0
0.423,-0.014346822564547973,0.0,0.0,0.0,0.0
0.424,-0.02091411366947189,0.0,0.0,0.0,0.0
0.425,0.04964080663029073,0.0,0.0,0.0,0.0
0.426,0.02473027404580499,0.0,0.0,0.0,0.0
0.427,0.009263314654284163,0.0,0.0,0.0,0.0
0.428,-0.03743783536962142,0.0,0.0,0.0,0.0
0.429,0.008913095699674715,0.0,0.0,0.0,0.0
0.43,0.000911709536359921,0.0,0.0,0.0,0.0
0.431,0.006321420285566729,0.0,0.0,0.0,0.0
0.432,-0.03050905822540788,0.0,0.0,0.0,0.0
0.433,0.007281605373569744,0.0,0.0,0.0,0.0
0.434,-0.00042215836353237755,0.0,0.0,0.0,0.0
0.435,0.05500154224211153,0.0,0.0,0.0,0.0
0.436,0.04418986904232211,0.0,0.0,0.0,0.0
0.437,0.055638128550844,0.0,0.0,0.0,0.0
0.438,-0.03464561065876835,0.0,0.0,0.0,0.0
0.439,0.05885974783475725,0.0,0.0,0.0,0.0
0.44,0.014065740898786695,0.0,0.0,0.0,0.0
0.441,0.003414068500877795,0.0,0.0,0.0,0.0
0.442,0.05586800560230433,0.0,0.0,0.0,0.0
0.443,-0.023296364671510857,0.0,0.0,0.0,0.0
0.444,0.002323119743328294,0.0,0.0,0.0,0.0
0.445,0.024847376988426116,0.0,0.0,0.0,0.0
0.446,0.044215121597632544,0.0,0.0,0.0,0.0
0.447,-0.013531599793075697,0.0,0.0,0.0,0.0
0.448,0.008634608449282323,0.0,0.0,0.0,0.0
0.449,-0.04288016925994906,0.0,0.0,0.0,0.0
0.45,0.005987187381405449,0.0,0.0,0.0,0.0
0.451,-0.07902260089075216,0.0,0.0,0.0,0.0
0.452,0.012241336138446506,0.0,0.0,0.0,0.0
0.453,-0.01766017792228524,0.0,0.0,1.0,0.0
0.454,0.016631396803403954,0.0,0.0,0.0,0.0
0.455,-0.014500164002867081,0.0,0.0,0.0,0.0
0.456,-0.065996797581613,0.0,0.0,0.0,0.0
0.457,-0.017137968335236082,0.0,0.0,0.0,0.0
0.458,0.020826610056685003,0.0,0.0,0.0,0.0
0.459,-0.036102049424636025,0.0,0.0,0.0,0.0
0.46,-0.024335723590955066,0.0,0.0,0.0,0.0
0.461,0.025119339765646825,0.0,0.0,0.0,0.0
0.462,0.043423832280152314,0.0,0.0,0.0,0.0
